Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1961","1961","?C","-0.296","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1962","1962","?C","-0.8","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1963","1963","?C","-0.289","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1964","1964","?C","-1.033","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1965","1965","?C","0.506","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1966","1966","?C","-1.335","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1967","1967","?C","-0.677","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1968","1968","?C","-0.231","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1969","1969","?C","1.004","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1970","1970","?C","-0.548","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1971","1971","?C","0.765","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1972","1972","?C","0.758","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1973","1973","?C","-0.729","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1974","1974","?C","1.003","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1975","1975","?C","-0.07","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1976","1976","?C","-0.495","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1977","1977","?C","-0.335","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1978","1978","?C","-0.041","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1979","1979","?C","-0.685","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1980","1980","?C","0.786","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1981","1981","?C","-0.418","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1982","1982","?C","0.912","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1983","1983","?C","-0.195","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1984","1984","?C","-0.366","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1985","1985","?C","-1.033","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1986","1986","?C","0.454","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1987","1987","?C","-0.617","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1988","1988","?C","-0.458","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1989","1989","?C","0.783","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1990","1990","?C","0.827","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1991","1991","?C","0.547","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1992","1992","?C","-0.527","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1993","1993","?C","1.174","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1994","1994","?C","0.637","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1995","1995","?C","0.722","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1996","1996","?C","0.356","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1997","1997","?C","-0.019","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1998","1998","?C","1.069","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","1999","1999","?C","0.955","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2000","2000","?C","1.389","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2001","2001","?C","-0.048","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2002","2002","?C","0.711","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2003","2003","?C","1.166","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2004","2004","?C","0.33","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2005","2005","?C","1.582","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2006","2006","?C","1.284","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2007","2007","?C","-0.204","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2008","2008","?C","0.499","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2009","2009","?C","1.601","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2010","2010","?C","-0.054","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2011","2011","?C","0.382","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2012","2012","?C","1.405","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2013","2013","?C","0.49","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2014","2014","?C","0.526","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2015","2015","?C","0.695","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2016","2016","?C","0.253","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2017","2017","?C","1.652","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2018","2018","?C","0.407","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2019","2019","?C","1.021","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7001","January","2020","2020","?C","1.617","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1961","1961","?C","-0.153","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1962","1962","?C","1.555","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1963","1963","?C","-0.045","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1964","1964","?C","-1.038","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1965","1965","?C","-0.884","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1966","1966","?C","-1.398","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1967","1967","?C","-0.18","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1968","1968","?C","-0.344","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1969","1969","?C","0.265","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1970","1970","?C","-0.192","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1971","1971","?C","0.113","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1972","1972","?C","0.186","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1973","1973","?C","-0.278","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1974","1974","?C","-0.111","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1975","1975","?C","0.058","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1976","1976","?C","0.572","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1977","1977","?C","0.091","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1978","1978","?C","-0.966","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1979","1979","?C","-0.166","Fc","Calculated data"
"ET","Temperature change","138","Mexico","7271","Temperature change","7002","February","1980","1980","?C","0.631","Fc","Calculated data"
